country,year_week,total_runners,distance,duration
Afghanistan,2020-2,3,7.2209,41.056666666666665
Serbia,2020-2,13,12.855274509803921,67.38856209150326
Singapore,2020-2,118,10.961486486486486,66.46621621621621
Poland,2020-2,127,13.15222947368421,67.67070175438596
Czechia,2020-2,33,12.926863636363636,66.55151515151515
Estonia,2020-2,5,17.712857142857143,102.92460317460316
Sweden,2020-2,239,11.985069828722002,63.09071146245059
Philippines,2020-2,43,10.043980952380952,64.1031746031746
Australia,2020-2,446,12.04537108708025,65.05325365205843
Honduras,2020-2,5,8.86,50.714814814814815
Hungary,2020-2,36,12.832727272727272,69.36225895316805
Iceland,2020-2,52,10.764916666666666,65.55277777777778
Ghana,2020-2,2,10.905555555555557,56.870370370370374
Turkey,2020-2,36,12.561840336134454,72.03375350140055
Netherlands,2020-2,645,11.96833540022548,64.95729988726043
Tunisia,2020-2,5,14.370750000000001,75.91527777777777
United Arab Emirates,2020-2,51,12.845064935064936,68.92943722943723
Peru,2020-2,38,11.178154411764707,62.27328431372548
Israel,2020-2,38,13.07134745762712,72.04703389830507
Canada,2020-2,855,11.658748678996037,62.572165345662704
Malta,2020-2,2,10.05090909090909,57.942424242424245
Jersey,2020-2,17,10.214492753623187,54.354830917874395
Luxembourg,2020-2,24,12.020434782608696,62.26618357487923
Taiwan,2020-2,224,12.121128205128205,68.1600641025641
Senegal,2020-2,1,13.512857142857143,63.721428571428575
Faroe Islands,2020-2,6,11.454652173913043,65.65652173913043
Azerbaijan,2020-2,3,7.308888888888889,51.53888888888889
Uruguay,2020-2,5,10.734857142857143,49.45595238095238
Slovenia,2020-2,22,11.335735294117647,67.2453431372549
Fiji,2020-2,1,8.065000000000001,48.8
Paraguay,2020-2,7,9.970588235294118,58.7843137254902
Armenia,2020-2,3,9.836666666666668,51.61666666666667
Monaco,2020-2,1,10.06,55.40277777777777
Kosovo,2020-2,1,10.8325,56.59166666666667
Dominican Republic,2020-2,36,9.986605769230769,70.43124999999999
Bulgaria,2020-2,5,7.6374375,41.890625
Denmark,2020-2,237,12.43348167539267,63.07774869109948
South Africa,2020-2,116,10.71773366834171,62.55938023450586
Kuwait,2020-2,1,10.11,62.0
Bermuda,2020-2,4,8.255625,46.384375
Ukraine,2020-2,74,12.678588,68.96833333333333
Mexico,2020-2,270,10.589242387332522,59.94575720665855
Cape Verde,2020-2,1,6.54,38.85
Indonesia,2020-2,181,9.667560077519381,65.34928940568474
Panama,2020-2,31,9.896021505376345,58.81612903225806
Barbados,2020-2,1,11.92,69.72666666666666
Argentina,2020-2,53,11.990407216494846,63.13470790378007
Brazil,2020-2,507,10.611923175416134,59.26239863422962
Kenya,2020-2,15,14.651290322580644,80.31774193548387
Trinidad and Tobago,2020-2,1,20.235,141.025
Greece,2020-2,23,11.452276923076923,65.38358974358974
Bosnia and Herzegovina,2020-2,2,10.864,56.089999999999996
San Marino,2020-2,1,14.578428571428573,69.92142857142856
Ecuador,2020-2,24,9.309076923076924,53.66820512820513
Cyprus,2020-2,14,10.262045454545454,55.56363636363637
Colombia,2020-2,104,11.04719881305638,62.73412462908012
Austria,2020-2,73,13.487476415094338,76.21713836477987
Sudan,2020-2,2,17.725454545454543,87.0030303030303
Anguilla,2020-2,1,4.055,33.958333333333336
Jamaica,2020-2,1,6.43,35.15
United States,2020-2,10388,11.400306399118424,61.40958244705841
Angola,2020-2,4,11.078571428571427,54.915476190476184
South Sudan,2020-2,1,9.48,65.0
Slovakia,2020-2,23,11.865842857142857,71.30452380952381
Costa Rica,2020-2,121,10.840654411764707,59.50649509803922
Bahrain,2020-2,3,12.237272727272728,61.82424242424242
Croatia,2020-2,18,13.478702127659576,80.0822695035461
Norway,2020-2,401,11.883581708137188,64.35235373234701
